Config,Model,Layers (Base / Large),Base_Acc,Base_F1,Base_Spk_Acc,Base_Spk_Vote,Large_Acc,Large_F1,Large_Spk_Acc,Large_Spk_Vote
MIX -> ZH,SVM-RBF,L6 / L12,0.5221386800334169,0.4347826086956521,0.7,"3/5 MDD, 4/5 HC",0.4436090225563909,0.2483069977426636,0.4,"0/5 MDD, 4/5 HC"
MIX -> ZH,GRU,L6 / L12,0.6,0.3333333333333333,0.6,"1/5 MDD, 5/5 HC",0.5,0.6666666666666666,0.5,"5/5 MDD, 0/5 HC"
MIX -> ZH,CLeaD,L6 / L12,0.5279866332497911,0.4882246376811594,0.7,"3/5 MDD, 4/5 HC",0.4440267335004177,0.2100890207715133,0.4,"0/5 MDD, 4/5 HC"
MIX -> ZH,CLeaD w/o SupCon,L6 / L12,0.5380116959064327,0.4981851179673321,0.6,"2/5 MDD, 4/5 HC",0.4728487886382623,0.3770977295162882,0.6,"2/5 MDD, 4/5 HC"
EN -> EN,LR,L7 / L14,0.696523178807947,0.6238456802790888,0.0,-,0.7327814569536424,0.6596372838464782,0.0,-
EN -> EN,SVM-Linear,L7 / L14,0.6902317880794702,0.6304562512344459,0.0,-,0.730794701986755,0.6634933774834437,0.0,-
EN -> EN,SVM-RBF,L7 / L14,0.3932119205298013,0.5382386292049893,0.0,-,0.7370860927152317,0.5749464668094219,0.0,-
EN -> EN,GRU,L7 / L14,0.6521739130434783,0.5,0.6521739130434783,-,0.5652173913043478,0.375,0.5652173913043478,-
EN -> EN,CLeaD,L7 / L14,0.6973509933774834,0.603470715835141,0.0,-,0.7233443708609272,0.5559394100451768,0.0,-
EN -> EN,CLeaD w/o SupCon,L7 / L14,0.7233443708609272,0.6305549414105682,0.0,-,0.7301324503311258,0.5634708087841457,0.0,-
EN -> ZH,LR,L7 / L14,0.5225563909774437,0.2649517684887459,0.5,"0/5 MDD, 5/5 HC",0.4189640768588137,0.0926288323548597,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,SVM-Linear,L7 / L14,0.5004177109440268,0.2323491655969191,0.5,"0/5 MDD, 5/5 HC",0.4427736006683375,0.0485021398002853,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,SVM-RBF,L7 / L14,0.5254803675856308,0.6557575757575758,0.5,"5/5 MDD, 0/5 HC",0.4816207184628237,0.0266666666666666,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,GRU,L7 / L14,0.5,0.5454545454545454,0.5,"3/5 MDD, 2/5 HC",0.6,0.7142857142857143,0.6,"5/5 MDD, 1/5 HC"
