Layer,Config,Model,Acc,F1,AUC,Speaker_Vote,Speaker_F1,Speaker_Acc
6,EN -> EN,LR,0.7379139072847682,0.6628328008519702,0.8042734929463823,-,0.0,0.0
6,EN -> EN,SVM-Linear,0.7284768211920529,0.6476149548775247,0.789963406936146,-,0.0,0.0
6,EN -> EN,SVM-RBF,0.7246688741721854,0.5580653733723093,0.7583105081873831,-,0.0,0.0
6,EN -> EN,GRU,0.4782608695652174,0.3333333333333333,0.5980392156862746,-,0.3333333333333333,0.4782608695652174
6,EN -> EN,CLeaD,0.7241721854304636,0.5928641251221897,0.7536872744274432,-,0.0,0.0
6,EN -> ZH,LR,0.49582289055973267,0.2544780728844966,0.48068756460760487,"0/5 MDD, 5/5 HC",0.0,0.5
6,EN -> ZH,SVM-Linear,0.4949874686716792,0.19130434782608696,0.5139098427066745,"0/5 MDD, 5/5 HC",0.0,0.5
6,EN -> ZH,SVM-RBF,0.48913951545530493,0.22447685478757134,0.538536166289498,"0/5 MDD, 5/5 HC",0.0,0.5
6,EN -> ZH,GRU,0.3,0.46153846153846156,0.4,"3/5 MDD, 0/5 HC",0.46153846153846156,0.3
6,EN -> ZH,CLeaD,0.49415204678362573,0.274415817855003,0.5278406392311347,"0/5 MDD, 5/5 HC",0.0,0.5
6,ZH -> EN,LR,0.5432119205298013,0.42171452525675956,0.5356826249867025,-,0.0,0.0
6,ZH -> EN,SVM-Linear,0.543046357615894,0.41000427533133815,0.5343408753322585,-,0.0,0.0
6,ZH -> EN,SVM-RBF,0.5420529801324503,0.2954661232806928,0.5193429605482858,-,0.0,0.0
6,ZH -> EN,GRU,0.6956521739130435,0.0,0.40196078431372545,-,0.0,0.6956521739130435
6,ZH -> EN,CLeaD,0.5254966887417218,0.33037383177570095,0.510877508810978,-,0.0,0.0
6,ZH -> ZH,LR,0.5363408521303258,0.44108761329305135,0.536750202553572,"1/5 MDD, 5/5 HC",0.3333333333333333,0.6
6,ZH -> ZH,SVM-Linear,0.5538847117794486,0.466,0.5613199508283743,"2/5 MDD, 5/5 HC",0.5714285714285714,0.7
6,ZH -> ZH,SVM-RBF,0.5476190476190477,0.4494153533299441,0.5605788841393569,"2/5 MDD, 5/5 HC",0.5714285714285714,0.7
6,ZH -> ZH,GRU,0.8,0.75,0.8,"3/5 MDD, 5/5 HC",0.75,0.8
6,ZH -> ZH,CLeaD,0.5526315789473685,0.4636955433149725,0.5815899756935714,"2/5 MDD, 5/5 HC",0.5714285714285714,0.7
6,MIX -> EN,LR,0.6695364238410596,0.5453302961275627,0.7022814161703159,-,0.0,0.0
6,MIX -> EN,SVM-Linear,0.6629139072847682,0.5374829622898682,0.7000748958496381,-,0.0,0.0
6,MIX -> EN,SVM-RBF,0.6983443708609272,0.5138740661686233,0.7253926301194501,-,0.0,0.0
6,MIX -> EN,GRU,0.4782608695652174,0.4,0.6372549019607843,-,0.4,0.4782608695652174
6,MIX -> EN,CLeaD,0.6572847682119205,0.4980601357904947,0.6732327988183816,-,0.0,0.0
