Layer,Config,Model,Acc,F1,AUC,Speaker_Vote,Speaker_F1,Speaker_Acc
14,EN -> ZH,SVM-Linear,0.4427736006683375,0.04850213980028531,0.26948355823764425,"0/5 MDD, 5/5 HC",0.0,0.5
14,EN -> ZH,SVM-RBF,0.4816207184628237,0.02666666666666667,0.349290364037661,"0/5 MDD, 5/5 HC",0.0,0.5
14,EN -> ZH,GRU,0.6,0.7142857142857143,0.64,"5/5 MDD, 1/5 HC",0.7142857142857143,0.6
14,EN -> ZH,CLeaD,0.4853801169590643,0.0,0.3675813008130081,"0/5 MDD, 5/5 HC",0.0,0.5
14,EN -> ZH,CLeaD w/o SupCon,0.44862155388471175,0.10931174089068826,0.31446162657502863,"0/5 MDD, 5/5 HC",0.0,0.5
14,ZH -> EN,LR,0.5064569536423841,0.4172043010752688,0.5023659709937078,-,0.0,0.0
14,ZH -> EN,SVM-Linear,0.5004966887417218,0.4221413522313733,0.4986700106535257,-,0.0,0.0
14,ZH -> EN,SVM-RBF,0.525,0.4071089067989254,0.5226102964660214,-,0.0,0.0
14,ZH -> EN,GRU,0.6521739130434783,0.0,0.5392156862745098,-,0.0,0.6521739130434783
14,ZH -> EN,CLeaD,0.46771523178807944,0.5397279885468862,0.5637820004248038,-,0.0,0.0
14,ZH -> EN,CLeaD w/o SupCon,0.5316225165562913,0.3589394969408566,0.5330760751040727,-,0.0,0.0
14,ZH -> ZH,LR,0.48705096073517123,0.40618955512572535,0.4594927779174699,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
14,ZH -> ZH,SVM-Linear,0.4778613199665831,0.39261418853255586,0.44648534629676195,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
14,ZH -> ZH,SVM-RBF,0.45112781954887216,0.31633714880332986,0.42258053250635597,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
14,ZH -> ZH,GRU,0.4,0.0,0.24,"0/5 MDD, 4/5 HC",0.0,0.4
14,ZH -> ZH,CLeaD,0.4791144527986633,0.490812576561862,0.43267538345486556,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
14,ZH -> ZH,CLeaD w/o SupCon,0.4344193817878028,0.2486126526082131,0.40816500433045566,"0/5 MDD, 4/5 HC",0.0,0.4
14,MIX -> EN,LR,0.668046357615894,0.5722210369106038,0.7122431730815266,-,0.0,0.0
14,MIX -> EN,SVM-Linear,0.6748344370860927,0.5873949579831933,0.7293928063449787,-,0.0,0.0
14,MIX -> EN,SVM-RBF,0.7056291390728476,0.5389004149377593,0.7384231707437924,-,0.0,0.0
14,MIX -> EN,GRU,0.34782608695652173,0.4,0.5,-,0.4,0.34782608695652173
14,MIX -> EN,CLeaD,0.6533112582781457,0.5952841128720525,0.7263014571678241,-,0.0,0.0
14,MIX -> EN,CLeaD w/o SupCon,0.6768211920529801,0.5750979538528516,0.7103199746980258,-,0.0,0.0
14,MIX -> ZH,LR,0.4415204678362573,0.31820499745028047,0.3956248428463666,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
14,MIX -> ZH,SVM-Linear,0.4369256474519632,0.32193158953722334,0.38972634313972004,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
14,MIX -> ZH,SVM-RBF,0.45112781954887216,0.27483443708609273,0.42187369038638833,"0/5 MDD, 4/5 HC",0.0,0.4
14,MIX -> ZH,GRU,0.5,0.6666666666666666,0.32,"5/5 MDD, 0/5 HC",0.6666666666666666,0.5
14,MIX -> ZH,CLeaD,0.4741019214703425,0.45756139595002154,0.4569577151957086,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
14,MIX -> ZH,CLeaD w/o SupCon,0.454469507101086,0.30605738575983,0.4461050345039533,"0/5 MDD, 4/5 HC",0.0,0.4
16,EN -> EN,LR,0.7130794701986755,0.6251351935972312,0.7752349643865639,-,0.0,0.0
16,EN -> EN,SVM-Linear,0.7172185430463576,0.6444629475437136,0.7875282471255002,-,0.0,0.0
16,EN -> EN,SVM-RBF,0.7245033112582782,0.5574468085106383,0.766775422651738,-,0.0,0.0
16,EN -> EN,GRU,0.5652173913043478,0.375,0.5980392156862745,-,0.375,0.5652173913043478
16,EN -> EN,CLeaD,0.6951986754966888,0.32390745501285345,0.7557003167880725,-,0.0,0.0
16,EN -> EN,CLeaD w/o SupCon,0.6541390728476821,0.09134406263592866,0.6625801088897063,-,0.0,0.0
16,EN -> ZH,LR,0.4477861319966583,0.06638418079096045,0.3212408850892633,"0/5 MDD, 5/5 HC",0.0,0.5
16,EN -> ZH,SVM-Linear,0.45822890559732665,0.05809731299927379,0.30291746989634843,"0/5 MDD, 5/5 HC",0.0,0.5
16,EN -> ZH,SVM-RBF,0.474937343358396,0.049886621315192746,0.3766043639817842,"0/5 MDD, 5/5 HC",0.0,0.5
