Layer,Config,Model,Acc,F1,AUC,Speaker_Vote,Speaker_F1,Speaker_Acc
9,MIX -> EN,SVM-RBF,0.6612582781456954,0.5354223433242506,0.6914970346711788,-,0.0,0.0
9,MIX -> EN,GRU,0.30434782608695654,0.42857142857142855,0.5196078431372548,-,0.42857142857142855,0.30434782608695654
9,MIX -> EN,CLeaD,0.6793046357615894,0.41884188418841883,0.7002279589442275,-,0.0,0.0
9,MIX -> EN,CLeaD w/o SupCon,0.6897350993377483,0.5238821138211383,0.717862749684173,-,0.0,0.0
9,MIX -> ZH,LR,0.5,0.4591052869408043,0.4920501215321431,"2/5 MDD, 4/5 HC",0.5,0.6
9,MIX -> ZH,SVM-Linear,0.48705096073517123,0.44283121597096187,0.4708581286843797,"2/5 MDD, 4/5 HC",0.5,0.6
9,MIX -> ZH,SVM-RBF,0.49707602339181284,0.4320754716981132,0.48641773531137367,"2/5 MDD, 4/5 HC",0.5,0.6
9,MIX -> ZH,GRU,0.5,0.6666666666666666,0.44000000000000006,"5/5 MDD, 0/5 HC",0.6666666666666666,0.5
9,MIX -> ZH,CLeaD,0.5091896407685882,0.3010113027959548,0.5209489285614506,"0/5 MDD, 5/5 HC",0.0,0.5
9,MIX -> ZH,CLeaD w/o SupCon,0.4753550543024227,0.2294478527607362,0.49748484340513505,"0/5 MDD, 5/5 HC",0.0,0.5
